
ALGORITHM FINISHED?: False
('100111', '66.6666666667', 'GENERATION: 1')
('001010', '33.3333333333', 'GENERATION: 1')
('001010', '33.3333333333', 'GENERATION: 1')
('000001', '16.6666666667', 'GENERATION: 1')

ALGORITHM FINISHED?: False
('100111', '66.6666666667', 'GENERATION: 2')
('100111', '66.6666666667', 'GENERATION: 2')
('100110', '50.0', 'GENERATION: 2')
('001010', '33.3333333333', 'GENERATION: 2')
('001010', '33.3333333333', 'GENERATION: 2')
('001010', '33.3333333333', 'GENERATION: 2')
('001010', '33.3333333333', 'GENERATION: 2')
('001001', '33.3333333333', 'GENERATION: 2')
('000001', '16.6666666667', 'GENERATION: 2')
('000001', '16.6666666667', 'GENERATION: 2')

ALGORITHM FINISHED?: False
('110111', '83.3333333333', 'GENERATION: 3')
('100111', '66.6666666667', 'GENERATION: 3')
('100111', '66.6666666667', 'GENERATION: 3')
('100111', '66.6666666667', 'GENERATION: 3')
('100111', '66.6666666667', 'GENERATION: 3')
('100111', '66.6666666667', 'GENERATION: 3')
('100110', '50.0', 'GENERATION: 3')
('100110', '50.0', 'GENERATION: 3')
('001010', '33.3333333333', 'GENERATION: 3')
('001010', '33.3333333333', 'GENERATION: 3')
('001010', '33.3333333333', 'GENERATION: 3')
('001010', '33.3333333333', 'GENERATION: 3')
('001001', '33.3333333333', 'GENERATION: 3')
('001010', '33.3333333333', 'GENERATION: 3')
('001010', '33.3333333333', 'GENERATION: 3')
('001010', '33.3333333333', 'GENERATION: 3')
('001010', '33.3333333333', 'GENERATION: 3')
('001001', '33.3333333333', 'GENERATION: 3')
('000001', '16.6666666667', 'GENERATION: 3')
('000001', '16.6666666667', 'GENERATION: 3')
('000001', '16.6666666667', 'GENERATION: 3')
('000001', '16.6666666667', 'GENERATION: 3')

ALGORITHM FINISHED?: False
('110111', '83.3333333333', 'GENERATION: 4')
('110111', '83.3333333333', 'GENERATION: 4')
('100111', '66.6666666667', 'GENERATION: 4')
('100111', '66.6666666667', 'GENERATION: 4')
('100111', '66.6666666667', 'GENERATION: 4')
('100111', '66.6666666667', 'GENERATION: 4')
('100111', '66.6666666667', 'GENERATION: 4')
('100111', '66.6666666667', 'GENERATION: 4')
('100111', '66.6666666667', 'GENERATION: 4')
('100111', '66.6666666667', 'GENERATION: 4')
('100111', '66.6666666667', 'GENERATION: 4')
('100111', '66.6666666667', 'GENERATION: 4')
('100110', '50.0', 'GENERATION: 4')
('100110', '50.0', 'GENERATION: 4')
('100110', '50.0', 'GENERATION: 4')
('100110', '50.0', 'GENERATION: 4')
('110010', '50.0', 'GENERATION: 4')
('100101', '50.0', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001001', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001001', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001001', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001010', '33.3333333333', 'GENERATION: 4')
('001001', '33.3333333333', 'GENERATION: 4')
('000001', '16.6666666667', 'GENERATION: 4')
('000001', '16.6666666667', 'GENERATION: 4')
('000001', '16.6666666667', 'GENERATION: 4')
('000001', '16.6666666667', 'GENERATION: 4')
('000001', '16.6666666667', 'GENERATION: 4')
('000001', '16.6666666667', 'GENERATION: 4')
('000001', '16.6666666667', 'GENERATION: 4')
('000001', '16.6666666667', 'GENERATION: 4')

ALGORITHM FINISHED?: False
('110111', '83.3333333333', 'GENERATION: 5')
('110111', '83.3333333333', 'GENERATION: 5')
('110111', '83.3333333333', 'GENERATION: 5')
('110111', '83.3333333333', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100111', '66.6666666667', 'GENERATION: 5')
('100110', '50.0', 'GENERATION: 5')
('100110', '50.0', 'GENERATION: 5')
('100110', '50.0', 'GENERATION: 5')
('100110', '50.0', 'GENERATION: 5')
('110010', '50.0', 'GENERATION: 5')
('100101', '50.0', 'GENERATION: 5')
('100110', '50.0', 'GENERATION: 5')
('100110', '50.0', 'GENERATION: 5')
('100110', '50.0', 'GENERATION: 5')
('100110', '50.0', 'GENERATION: 5')
('110010', '50.0', 'GENERATION: 5')
('100101', '50.0', 'GENERATION: 5')
('001101', '50.0', 'GENERATION: 5')
('001010', '33.3333333333', 'GENERATION: 5')
('001010', '33.3333333333', 'GENERATION: 5')
('001010', '33.3333333333', 'GENERATION: 5')
('001010', '33.3333333333', 'GENERATION: 5')
('001001', '33.3333333333', 'GENERATION: 5')
('001010', '33.3333333333', 'GENERATION: 5')
('001010', '33.3333333333', 'GENERATION: 5')
